relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256,status,reason
2015/01/21/HMI.m2015.01.21_21.00.00.jpg,2015-01-21T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/21/HMI.m2015.01.21_23.00.00.jpg,2015-01-21T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/22/HMI.m2015.01.22_00.00.00.jpg,2015-01-22T00:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/22/HMI.m2015.01.22_03.00.00.jpg,2015-01-22T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/22/HMI.m2015.01.22_07.00.00.jpg,2015-01-22T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/23/HMI.m2015.01.23_09.00.00.jpg,2015-01-23T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/23/HMI.m2015.01.23_22.00.00.jpg,2015-01-23T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/24/HMI.m2015.01.24_01.00.00.jpg,2015-01-24T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/25/HMI.m2015.01.25_18.00.00.jpg,2015-01-25T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_01.00.00.jpg,2015-01-26T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_06.00.00.jpg,2015-01-26T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_07.00.00.jpg,2015-01-26T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_09.00.00.jpg,2015-01-26T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_13.00.00.jpg,2015-01-26T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/26/HMI.m2015.01.26_16.00.00.jpg,2015-01-26T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_05.00.00.jpg,2015-01-27T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_06.00.00.jpg,2015-01-27T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_07.00.00.jpg,2015-01-27T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_08.00.00.jpg,2015-01-27T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_13.00.00.jpg,2015-01-27T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_14.00.00.jpg,2015-01-27T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_16.00.00.jpg,2015-01-27T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_19.00.00.jpg,2015-01-27T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/27/HMI.m2015.01.27_20.00.00.jpg,2015-01-27T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_01.00.00.jpg,2015-01-28T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_06.00.00.jpg,2015-01-28T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_09.00.00.jpg,2015-01-28T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_10.00.00.jpg,2015-01-28T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_11.00.00.jpg,2015-01-28T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_16.00.00.jpg,2015-01-28T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/28/HMI.m2015.01.28_23.00.00.jpg,2015-01-28T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/29/HMI.m2015.01.29_04.00.00.jpg,2015-01-29T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/29/HMI.m2015.01.29_06.00.00.jpg,2015-01-29T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/29/HMI.m2015.01.29_11.00.00.jpg,2015-01-29T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/29/HMI.m2015.01.29_16.00.00.jpg,2015-01-29T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/29/HMI.m2015.01.29_20.00.00.jpg,2015-01-29T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/30/HMI.m2015.01.30_01.00.00.jpg,2015-01-30T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/30/HMI.m2015.01.30_04.00.00.jpg,2015-01-30T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/30/HMI.m2015.01.30_06.00.00.jpg,2015-01-30T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/30/HMI.m2015.01.30_12.00.00.jpg,2015-01-30T12:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/30/HMI.m2015.01.30_22.00.00.jpg,2015-01-30T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/31/HMI.m2015.01.31_19.00.00.jpg,2015-01-31T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/01/HMI.m2015.02.01_09.00.00.jpg,2015-02-01T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/01/HMI.m2015.02.01_14.00.00.jpg,2015-02-01T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/02/HMI.m2015.02.02_01.00.00.jpg,2015-02-02T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/02/HMI.m2015.02.02_06.00.00.jpg,2015-02-02T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_03.00.00.jpg,2015-02-03T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_04.00.00.jpg,2015-02-03T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_05.00.00.jpg,2015-02-03T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_15.00.00.jpg,2015-02-03T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_16.00.00.jpg,2015-02-03T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_19.00.00.jpg,2015-02-03T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/03/HMI.m2015.02.03_21.00.00.jpg,2015-02-03T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/04/HMI.m2015.02.04_02.00.00.jpg,2015-02-04T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/04/HMI.m2015.02.04_11.00.00.jpg,2015-02-04T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/06/HMI.m2015.02.06_14.00.00.jpg,2015-02-06T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/06/HMI.m2015.02.06_21.00.00.jpg,2015-02-06T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/07/HMI.m2015.02.07_04.00.00.jpg,2015-02-07T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/08/HMI.m2015.02.08_05.00.00.jpg,2015-02-08T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/08/HMI.m2015.02.08_07.00.00.jpg,2015-02-08T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/08/HMI.m2015.02.08_23.00.00.jpg,2015-02-08T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_02.00.00.jpg,2015-02-09T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_10.00.00.jpg,2015-02-09T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_13.00.00.jpg,2015-02-09T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_14.00.00.jpg,2015-02-09T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_17.00.00.jpg,2015-02-09T17:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/09/HMI.m2015.02.09_22.00.00.jpg,2015-02-09T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/10/HMI.m2015.02.10_02.00.00.jpg,2015-02-10T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/10/HMI.m2015.02.10_15.00.00.jpg,2015-02-10T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/10/HMI.m2015.02.10_22.00.00.jpg,2015-02-10T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/11/HMI.m2015.02.11_05.00.00.jpg,2015-02-11T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/11/HMI.m2015.02.11_23.00.00.jpg,2015-02-11T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/13/HMI.m2015.02.13_06.00.00.jpg,2015-02-13T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/13/HMI.m2015.02.13_19.00.00.jpg,2015-02-13T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/14/HMI.m2015.02.14_10.00.00.jpg,2015-02-14T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/15/HMI.m2015.02.15_08.00.00.jpg,2015-02-15T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/16/HMI.m2015.02.16_01.00.00.jpg,2015-02-16T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/16/HMI.m2015.02.16_07.00.00.jpg,2015-02-16T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/16/HMI.m2015.02.16_13.00.00.jpg,2015-02-16T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/17/HMI.m2015.02.17_10.00.00.jpg,2015-02-17T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/18/HMI.m2015.02.18_23.00.00.jpg,2015-02-18T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/19/HMI.m2015.02.19_15.00.00.jpg,2015-02-19T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/21/HMI.m2015.02.21_23.00.00.jpg,2015-02-21T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/22/HMI.m2015.02.22_07.00.00.jpg,2015-02-22T07:00:00Z,,,,,skipped_existing,destination JPEG already exists
