relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256
2010/12/14/HMI.m2010.12.14_15.00.00.jpg,2010-12-14T15:00:00Z,2010-12-14 14:59:41Z,19,111342671,e0c9adb9324f3a34ffd54ca6aad094e2b628b524f082f7822ab35a8a38fb64f8
2011/03/06/HMI.m2011.03.06_04.00.00.jpg,2011-03-06T04:00:00Z,2011-03-06 04:01:15Z,75,111532422,86515041a62696cba538db9d24948738057e9a786460def21b40cd5520447e43
2011/03/13/HMI.m2011.03.13_20.00.00.jpg,2011-03-13T20:00:00Z,2011-03-13 19:59:45Z,15,111554234,1de8f2ef4bfab7bc3e036eb80a1cb2728209ee0eec12857e82537cb2b8939e04
2011/07/16/HMI.m2011.07.16_14.00.00.jpg,2011-07-16T14:00:00Z,2011-07-16 13:53:12Z,408,111860075,7cd1eff26ca08c355022b971dee20fcdd5a4ec78fdc074cfe09a575d5ffabbb0
2011/08/13/HMI.m2011.08.13_16.00.00.jpg,2011-08-13T16:00:00Z,2011-08-13 15:59:55Z,5,111958932,39480744b34f4182df9b9ae33536ff03e972accbc7eaf61f8143d00f92338d89
2011/09/05/HMI.m2011.09.05_10.00.00.jpg,2011-09-05T10:00:00Z,2011-09-05 09:59:53Z,7,112039721,bd5ec653823b2f4aecf00e44952e24624f9112e4129aabcf6dceea619f961675
2011/12/29/HMI.m2011.12.29_19.00.00.jpg,2011-12-29T19:00:00Z,2011-12-29 18:59:40Z,20,112345083,5233a55ef5fcc013557bbe72ca864f78e921932f9aa0935d0e0aa306b6407f82
2012/06/30/HMI.m2012.06.30_07.00.00.jpg,2012-06-30T07:00:00Z,2012-06-30 06:52:27Z,453,99636458,697896c6cfb7577b9752ce78d6d0bdb34b9857437ae00025d4190148dfeb7a7b
2012/07/11/HMI.m2012.07.11_15.00.00.jpg,2012-07-11T15:00:00Z,2012-07-11 14:59:57Z,3,99673663,f3de650ad5ae83f7c46a61b789fde1577b040811cdd857ae64bef717c21f5a4c
2012/08/10/HMI.m2012.08.10_13.00.00.jpg,2012-08-10T13:00:00Z,2012-08-10 12:59:55Z,5,99764476,eb91368d5ec91f1afc4b0dc90a63df22036ad955fc22dbe5e28bc36e66c21f4c
