global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
18,1,18,0.7996950223287224,0.8308284237104725,0.7526413244744581,0.7898045490913248,0.5993900446574447,0.5993900446574447,6910,7774,1407,2271,0.4201014757305692,0.4201014757305692,0.0,0.8706516413522783,0.4627659574468085,0.348,0.39726027397260266,0.291606923506421,0.3264346378184855,87,1690,101,163,0.3038904282288596,0.001,23.14449090976268
19,1,19,0.803779544711905,0.8324988078206962,0.7605925280470537,0.7949228755193808,0.6075590894238101,0.6075590894238101,6983,7776,1405,2198,0.4139131124944628,0.4139131124944628,0.0,0.8588926996570309,0.43448275862068964,0.504,0.4666666666666666,0.4124310441094361,0.38587040558330027,126,1627,164,124,0.33278768626806027,0.001,23.177305111661553
20,1,20,0.8079185273935301,0.8400288669713736,0.7607014486439385,0.7983995427264933,0.6158370547870602,0.6158370547870602,6984,7851,1330,2197,0.4067536904789526,0.4067536904789526,0.0,0.8731014208721215,0.47619047619047616,0.36,0.41002277904328016,0.30472361809045223,0.340462059216543,90,1692,99,160,0.30405458868542823,0.001,23.181356294080615
21,1,21,0.8081908288857423,0.8346540508574808,0.7686526522165341,0.8002948514402358,0.6163816577714846,0.6163816577714846,7057,7783,1398,2124,0.40539905114989827,0.40539905114989827,0.0,0.8755512003919648,0.489010989010989,0.356,0.41203703703703703,0.30407370184254606,0.34437064316717086,89,1698,93,161,0.30944505689819907,0.001,23.111457359977067
22,1,22,0.814290382311295,0.8424925816023738,0.7731183966888139,0.8063160286266045,0.6285807646225902,0.6285807646225902,7098,7854,1327,2083,0.3959092142151898,0.3959092142151898,0.0,0.8608525232729054,0.4405594405594406,0.504,0.4701492537313433,0.4146644332774986,0.39047462817147854,126,1631,160,124,0.33340776321468607,0.001,23.19104798696935
23,1,23,0.8116218276876157,0.8362717442407146,0.7749700468358567,0.8044547458872746,0.6232436553752315,0.6232436553752314,7115,7788,1393,2066,0.3977138125848412,0.3977138125848412,0.0,0.8593826555609995,0.4389438943894389,0.532,0.4810126582278481,0.4370809603573423,0.40054933977913837,133,1621,170,117,0.3689828110582276,0.001,23.15427310857922
24,1,24,0.8225683476745452,0.8484527591481351,0.7854264241368043,0.8157239819004525,0.6451366953490906,0.6451366953490905,7211,7893,1288,1970,0.38253550277713494,0.38253550277713494,0.0,0.8593826555609995,0.43728813559322033,0.516,0.473394495412844,0.4233143495254048,0.3928900496971016,129,1625,166,121,0.3717135012237422,0.001,23.20905461255461
25,1,25,0.8250735214028972,0.8514070410926645,0.7876048360745017,0.8182641167817133,0.6501470428057946,0.6501470428057946,7231,7919,1262,1950,0.38319541487139613,0.38319541487139613,0.0,0.6531112199902008,0.23058823529411765,0.784,0.3563636363636363,0.4188408710217756,0.20607219383550354,196,1137,654,54,0.7944266827067927,0.001,23.037580433301628
26,1,26,0.8233852521511817,0.8463602426504899,0.7902189303997386,0.8173266490170674,0.6467705043023635,0.6467705043023636,7255,7864,1317,1926,0.3798381245781583,0.3798381245781583,0.0,0.7119059284664381,0.2691256830601093,0.788,0.40122199592668023,0.489284198771636,0.2674505054747043,197,1256,535,53,0.6590780387726092,0.001,23.095600872300565
27,1,27,0.8260538067748612,0.8507322788517867,0.7908724539810478,0.8197109957100925,0.6521076135497222,0.6521076135497222,7261,7907,1274,1920,0.3755226124249672,0.3755226124249672,0.0,0.8441940225379716,0.403954802259887,0.572,0.4735099337748344,0.45418872138470123,0.38524329300866483,143,1580,211,107,0.4168222831897091,0.001,23.120537313632667
